# Format:
# section | text | source | effective_date
# Note: India transitioned to new criminal codes effective 2024-07-01 (BNS/BNSS/BSA).
# For incidents before 2024-07-01, IPC/CrPC/Evidence Act references may still be relevant historically.

Criminal Law Transition Note | Bharatiya Nyaya Sanhita 2023, Bharatiya Nagarik Suraksha Sanhita 2023, and Bharatiya Sakshya Adhiniyam 2023 are effective from 2024-07-01. | India Code and Gazette of India | 2024-07-01

Section 34 IPC | Acts done by several persons in furtherance of common intention. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 120B IPC | Criminal conspiracy. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 300 IPC | Murder. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 302 IPC | Punishment for murder. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 304 IPC | Culpable homicide not amounting to murder. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 307 IPC | Attempt to murder. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 323 IPC | Voluntarily causing hurt. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 324 IPC | Voluntarily causing hurt by dangerous weapons or means. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 354 IPC | Assault or criminal force to woman with intent to outrage modesty. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 376 IPC | Punishment for rape. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 378 IPC | Theft definition. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 379 IPC | Punishment for theft. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 384 IPC | Punishment for extortion. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 406 IPC | Punishment for criminal breach of trust. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 409 IPC | Criminal breach of trust by public servant, banker, merchant, or agent. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 415 IPC | Cheating definition. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 420 IPC | Cheating and dishonestly inducing delivery of property. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 441 IPC | Criminal trespass definition. | India Code - Indian Penal Code 1860 | 1860-10-06
Section 463 IPC | Forgery definition. | India Code - Indian Penal Code 1860 | 1860-10-06
